lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-51.73,-70.16,R_GALLEGOS_GALLEGOS_KM0064,10,2.3800783,-2.3178902,0.19634172706639852
-51.69,-69.68,R_GALLEGOS_GALLEGOS_KM0016,10,2.734491,-2.6938696,-0.4760514469631309
-51.75,-70.22,R_GALLEGOS_GALLEGOS_KM0069,10,0.6354291,-0.5074692,0.6341751007066103
-51.67,-69.79,R_GALLEGOS_GALLEGOS_KM0029,20,0.7871706,0.68021774,0.47818246604538833
-51.85,-70.64,R_GALLEGOS_GALLEGOS_KM0117,10,2.7124274,2.6134262,-0.29631975395860694
-53.82,-67.92,R_GRANDE_GRANDE_KM0014,10,0.85850567,0.6554704,0.34161817921489934
-51.84,-70.69,R_GALLEGOS_GALLEGOS_KM0121,10,0.61407703,0.37537384,-0.028106359366567968
-51.87,-71.09,R_GALLEGOS_GALLEGOS_KM0154,10,2.1010041,-2.003502,0.16308434840321634
-50.11,-69.1,R_SANTA-CRUZ_SANTA-CRUZ_KM0047,10,6.542364,-6.48055,0.29782582081559267
-51.84,-71.58,R_GALLEGOS_PENITENTE_KM0197,10,0.8143362,-0.6212387,0.37912900601680977
-50.09,-69.41,R_SANTA-CRUZ_SANTA-CRUZ_KM0076,10,1.5816628,-1.3603611,0.7866168823334683
-50.16,-70.01,R_SANTA-CRUZ_SANTA-CRUZ_KM0143,10,2.3131073,-2.1154556,0.26290178306712736
-50.07,-69.59,R_SANTA-CRUZ_SANTA-CRUZ_KM0091,10,0.6520436,0.22939682,0.5857987074693413
-50.23,-70.41,R_SANTA-CRUZ_SANTA-CRUZ_KM0192,10,4.663081,-4.640442,0.9089274718882228
-50.17,-69.92,R_SANTA-CRUZ_SANTA-CRUZ_KM0135,10,5.8058567,-5.7434273,0.1293383737709657
-50.21,-70.46,R_SANTA-CRUZ_SANTA-CRUZ_KM0198,10,1.5786834,-1.4723282,0.6075510923504486
-50.21,-70.92,R_SANTA-CRUZ_SANTA-CRUZ_KM0235,10,2.451597,-2.298294,0.4114063317267936
-50.22,-71.39,R_SANTA-CRUZ_SANTA-CRUZ_KM0279,10,2.6383638,2.5044403,0.4848472976798911
-50.26,-71.83,R_SANTA-CRUZ_SANTA-CRUZ_KM0333,10,5.098388,5.005783,0.34291012100304197
-50.25,-71.84,R_SANTA-CRUZ_SANTA-CRUZ_KM0334,10,4.960736,4.841934,0.3725304846315122
-45.38,-72.45,R_AYSEN_NIREGUAO_KM0033,10,2.0968134,1.9781151,0.16688500678779924
-45.5,-72.19,R_AYSEN_SIMPSON_KM0062,10,7.173444,7.124054,0.5609796995568672
-47.79,-73.57,R_BAKER_BAKER_KM0001,10,5.096527,5.0818844,0.17104727146601345
-47.77,-73.38,R_BAKER_BAKER_KM0025,10,1.6699722,1.5449646,0.578746365803497
-47.52,-73.01,R_BAKER_BAKER_KM0082,10,1.7329038,-1.1432114,0.33573058070986256
-47.24,-72.66,R_BAKER_BAKER_KM0138,10,0.4593635,-0.12571716,0.4486907901545619
-47.13,-72.7,R_BAKER_BAKER_KM0159,10,1.592688,1.5155029,0.09133326120192876
-46.23,-72.01,R_BAKER_IBANEZ_KM0354,10,60.55474,-60.55255,0.4413149236486286
-40.36,-73.17,R_BUENO_BUENO_KM0061,10,2.5268133,2.4481657,0.9658101382374665
-40.64,-73.21,R_BUENO_NEGRO_KM0100,10,1.3480463,1.0332041,0.3655821964314203
-40.36,-73.3,R_BUENO_RAHUE_KM0051,10,2.507303,2.3393228,0.8257932012918479
-40.54,-73.23,R_BUENO_RAHUE_KM0079,10,2.0077631,-1.9573536,0.9421891620363314
-49.54,-70.58,R_CHICO_CHALIA_KM0193,10,2.052132,1.8986053,-0.03235822102036082
-49.59,-71.2,R_CHICO_CHALIA_KM0250,20,10.281279,-10.277618,0.5090876756649461
-48.26,-71.3,R_CHICO_CHICO_KM0486,10,3.0431404,-3.026245,-0.02870018629420808
-48.27,-71.43,R_CHICO_CHICO_KM0505,20,3.1972198,3.1067505,0.4819292122105005
-49.68,-68.82,R_CHICO_CHICO_KM0036,10,1.1052984,0.9671688,-0.04910240887826186
-49.6,-69.2,R_CHICO_CHICO_KM0069,10,5.901559,-5.8889236,0.37488150858448216
-42.34,-71.04,R_CHUBUT_CHUBUT_KM0927,20,9.934702,-9.9002075,0.11294358709458979
-49.57,-69.34,R_CHICO_CHICO_KM0083,10,5.251202,-5.228283,-0.04286316849140017
-46.89,-70.46,R_DESEADO_PINTURAS_KM0533,20,7.680617,-7.674652,0.10774618712979714
-43.01,-71.74,R_FUTALEUFU_CARRILEUFU_KM0202,10,3.842944,1.119873,-0.5741679877763874
-43.6,-66.35,R_CHUBUT_CHUBUT_KM0183,20,1.3875949,-1.2978172,-0.43527214517887974
-42.55,-71.62,R_FUTALEUFU_CARRILEUFU_KM0263,10,1.5906103,1.5406494,0.7007448256599776
-43.95,-66.91,R_CHUBUT_CHUBUT_KM0270,10,1.0745369,-0.95991516,0.07413656135528665
-43.2,-71.81,R_FUTALEUFU_FUTALEUFU_KM0147,20,3.037461,-2.995819,0.7532539915656356
-40.53,-70.42,R_NEGRO2_LIMAY_KM1052,10,5.894112,-4.946533,-0.0928027656500987
-43.83,-67.83,R_CHUBUT_CHUBUT_KM0388,20,4.6879683,-4.6690674,0.376175355558904
-40.52,-70.44,R_NEGRO2_LIMAY_KM1055,10,8.351891,-7.1083984,-0.3064819438300864
-44.01,-72.57,R_PALENA_PALENA_KM0056,10,9.944731,-9.912382,0.7705367465276902
-43.99,-72.5,R_PALENA_PALENA_KM0063,10,1.6986463,1.5818195,0.6597061742402242
-43.7,-72.14,R_PALENA_PALENA_KM0137,20,1.880913,1.8077774,-0.4471479133334944
-43.82,-67.89,R_CHUBUT_CHUBUT_KM0394,20,8.062301,-8.059174,0.8932114144185963
-48.21,-72.33,R_PASCUA_MAYER_KM0236,10,9.855782,9.837341,0.11897616728404459
-43.85,-68.31,R_CHUBUT_CHUBUT_KM0441,10,5.292479,-5.2853394,0.6420965755785532
-41.59,-71.72,R_PUELO_MANSO_KM0094,10,2.9140248,-2.7807312,0.6516856888149046
-43.85,-68.81,R_CHUBUT_CHUBUT_KM0505,10,2.5335066,-2.5043945,0.5857380596472868
-41.62,-72.2,R_PUELO_PUELO_KM0014,10,2.3665667,-2.3384132,0.6431244126821971
-43.5,-69.12,R_CHUBUT_CHUBUT_KM0575,10,0.37121433,0.042999268,0.38563081984852265
-47.68,-66.87,R_DESEADO_DESEADO_KM0094,10,2.627281,2.3534546,-0.21088773902679736
-47.19,-67.25,R_DESEADO_DESEADO_KM0171,20,1.3253906,-1.2596893,-0.24812749952689145
-47.08,-67.67,R_DESEADO_DESEADO_KM0216,10,2.1423151,2.092308,-0.5734440264820548
-41.0,-62.8,R_NEGRO2_NEGRO_KM0001,10,1.2161849,-0.6732962,0.08820077441041581
-40.8,-63.03,R_NEGRO2_NEGRO_KM0032,10,1.6135583,0.9935838,0.00520131868312838
-40.71,-63.36,R_NEGRO2_NEGRO_KM0068,10,1.1411732,-0.62227964,0.05273787831170805
-40.7,-63.42,R_NEGRO2_NEGRO_KM0075,10,0.88626367,0.030851364,0.22943570351802978
-40.67,-63.45,R_NEGRO2_NEGRO_KM0083,10,1.3228809,-0.8639736,0.30135159536041584
-40.41,-63.83,R_NEGRO2_NEGRO_KM0146,10,3.0566459,-2.8814545,-0.013073444087084943
-40.33,-63.96,R_NEGRO2_NEGRO_KM0169,10,5.9628844,-5.9068394,0.0800716030177444
-40.16,-64.22,R_NEGRO2_NEGRO_KM0210,10,4.6006536,-4.5268784,0.19461222815891385
-40.08,-64.51,R_NEGRO2_NEGRO_KM0247,10,4.5601096,-4.464649,0.006714559802681526
-40.07,-64.59,R_NEGRO2_NEGRO_KM0256,10,5.1551704,-5.1287537,0.10045152750375427
-40.03,-64.64,R_NEGRO2_NEGRO_KM0266,10,2.1637282,-2.1268692,0.05412882908134021
-48.7,-68.32,R_SECO_SECO_KM0132,10,2.1318839,2.126297,-0.15808161133976056
-36.97,-73.01,R_BIOBIO_BIOBIO_KM0025,10,5.5177674,-5.49563,0.7674454610209848
-38.62,-63.11,R_ARROYO-PELICURA_ARROYO-PELICURA_KM0001,10,0.4106472,-0.21890068,0.3179578387369256
-37.16,-72.93,R_BIOBIO_BIOBIO_KM0055,10,7.052581,-7.0384007,0.43661299890126715
