time,chainage [m],lat,lon,observed height [m],outlier
20101025 14:24:10,150409.01,29.727871,83.99428,4566.23,0
20120121 15:56:31,151567.26,29.72079,84.003285,4560.03,0
20110118 22:17:58,152547.25,29.717096,83.991251,4984.28,1
20130124 09:47:06,162832.95,29.657744,84.003854,4553.96,0
20120415 23:50:36,166316.01,29.629514,84.012464,4550.31,0
20120121 15:56:31,167155.96,29.617709,84.011184,4550.55,0
20120415 23:50:36,171723.99,29.601433,84.044794,4548.54,0
20110118 10:11:18,172509.22,29.6022,84.053117,4549.48,0
20130419 05:34:21,174520.18,29.595406,84.070724,4547.6,0
20130419 05:34:21,174785.15,29.592749,84.070413,4547.56,0
20110413 18:05:27,176417.61,29.581809,84.080405,4547.07,0
20130713 01:21:38,179778.41,29.567617,84.108582,4547.78,0
20110413 05:58:49,179887.55,29.567212,84.109659,4549.81,0
20130713 01:21:38,180080.42,29.564916,84.109721,4547.81,0
20100926 15:49:12,186794.21,29.577178,84.169299,5058.74,1
20121226 11:12:16,187622.55,29.571746,84.176554,5021.73,1
20110930 09:40:24,187927.38,29.571247,84.179717,4545.75,0
20121002 15:25:15,189230.09,29.578543,84.199037,4545.17,0
20100927 03:55:48,189419.76,29.568031,84.194233,4545.71,0
20100927 03:55:48,189512.93,29.56536,84.193546,4545.61,0
20121226 11:12:16,190186.5,29.563081,84.199083,5017.34,1
20121226 11:12:16,194727.28,29.554062,84.233266,4975.52,1
20110929 21:33:41,197714.98,29.532349,84.258087,4545.35,0
20101220 23:43:03,197910.04,29.540563,84.260717,4543.17,0
20101220 23:43:03,198092.12,29.543198,84.261585,4543.04,0
20121225 23:05:38,201324.95,29.545733,84.292412,5018.44,1
20130321 06:59:26,202363.89,29.540938,84.302771,4541.95,0
20121002 03:18:39,203477.79,29.535038,84.313054,4846.48,1
20101220 11:36:26,205367.11,29.535357,84.331979,4541.32,0
20130614 02:46:41,208476.58,29.539421,84.363372,4543.16,0
20111223 17:21:25,209186.35,29.539378,84.370772,5040.01,1
20130320 18:52:45,209727.55,29.541008,84.376132,5083.01,1
20120317 13:08:56,216321.31,29.533644,84.43562,5118.01,1
20120317 13:08:56,218712.48,29.528957,84.456372,5128.36,1
20120610 08:56:16,218953.4,29.527773,84.458468,4539.29,0
20110608 03:11:21,219031.97,29.5265,84.458687,4582.43,1
20130613 14:40:01,219713.14,29.524038,84.465854,4539.77,0
