lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-51.73,-70.16,R_GALLEGOS_GALLEGOS_KM0064,10,2.3800783,-2.3178902,0.19634172706639852
-51.69,-69.68,R_GALLEGOS_GALLEGOS_KM0016,10,8.374426,-8.363107,-0.48765924835146035
-51.75,-70.22,R_GALLEGOS_GALLEGOS_KM0069,10,0.6354291,-0.5074692,0.6341751007066103
-51.67,-69.79,R_GALLEGOS_GALLEGOS_KM0029,20,9.442176,-9.434858,0.4860940972289383
-51.85,-70.64,R_GALLEGOS_GALLEGOS_KM0117,10,1.2212596,-1.043541,-0.3147433933885084
-53.82,-67.92,R_GRANDE_GRANDE_KM0014,10,0.85850567,0.6554704,0.34161817921489934
-51.84,-70.69,R_GALLEGOS_GALLEGOS_KM0121,10,3.2592018,-3.2320251,-0.03174403058450064
-51.87,-71.09,R_GALLEGOS_GALLEGOS_KM0154,10,2.1010041,-2.003502,0.16308434840321634
-50.11,-69.1,R_SANTA-CRUZ_SANTA-CRUZ_KM0047,10,1.7893803,-1.6471367,0.27663835372960904
-51.84,-71.58,R_GALLEGOS_PENITENTE_KM0197,10,2.9027774,-2.8630905,0.3764851760502084
-50.09,-69.41,R_SANTA-CRUZ_SANTA-CRUZ_KM0076,10,1.5816628,-1.3603611,0.7866168823334683
-50.16,-70.01,R_SANTA-CRUZ_SANTA-CRUZ_KM0143,10,2.3131073,-2.1154556,0.26290178306712736
-50.07,-69.59,R_SANTA-CRUZ_SANTA-CRUZ_KM0091,10,3.6089997,-3.5598183,0.582391389791137
-50.23,-70.41,R_SANTA-CRUZ_SANTA-CRUZ_KM0192,10,4.663081,-4.640442,0.9089274718882228
-50.17,-69.92,R_SANTA-CRUZ_SANTA-CRUZ_KM0135,10,5.8058567,-5.7434273,0.1293383737709657
-50.21,-70.46,R_SANTA-CRUZ_SANTA-CRUZ_KM0198,10,8.969461,-8.952347,0.6082756930840704
-50.21,-70.92,R_SANTA-CRUZ_SANTA-CRUZ_KM0235,10,2.451597,-2.298294,0.4114063317267936
