             ID                                                                                             Station                                             River                                             Basin                         Country       lon       lat elevation     EGM08     EGM96                       Satellite       Start Date         End Date       Status
082213000040011                                                                                      82213000040011                                         Mackenzie                                         Mackenzie                          Canada -134.1190   67.6100  -99.0000   -1.5570   -1.2300                            SWOT       2023-12-01       2024-12-31       active
082213000040021                                                                                      82213000040021                                         Mackenzie                                         Mackenzie                          Canada -134.1155   67.6088  -99.0000   -1.5550   -1.2300                            SWOT       2023-12-01       2024-12-31       active
082213000040031                                                                                      82213000040031                                         Mackenzie                                         Mackenzie                          Canada -134.1120   67.6077  -99.0000   -1.5530   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040041                                                                                      82213000040041                                         Mackenzie                                         Mackenzie                          Canada -134.1085   67.6065  -99.0000   -1.5510   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040051                                                                                      82213000040051                                         Mackenzie                                         Mackenzie                          Canada -134.1050   67.6053  -99.0000   -1.5490   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040061                                                                                      82213000040061                                         Mackenzie                                         Mackenzie                          Canada -134.1015   67.6042  -99.0000   -1.5470   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040071                                                                                      82213000040071                                         Mackenzie                                         Mackenzie                          Canada -134.0977   67.6029  -99.0000   -1.5440   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040081                                                                                      82213000040081                                         Mackenzie                                         Mackenzie                          Canada -134.0935   67.6020  -99.0000   -1.5430   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040091                                                                                      82213000040091                                         Mackenzie                                         Mackenzie                          Canada -134.0897   67.6011  -99.0000   -1.5420   -1.2200                            SWOT       2023-12-01       2024-12-31       active
082213000040101                                                                                      82213000040101                                         Mackenzie                                         Mackenzie                          Canada -134.0862   67.6000  -99.0000   -1.5400   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040111                                                                                      82213000040111                                         Mackenzie                                         Mackenzie                          Canada -134.0823   67.5990  -99.0000   -1.5380   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040121                                                                                      82213000040121                                         Mackenzie                                         Mackenzie                          Canada -134.0781   67.5979  -99.0000   -1.5360   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040131                                                                                      82213000040131                                         Mackenzie                                         Mackenzie                          Canada -134.0743   67.5970  -99.0000   -1.5350   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040141                                                                                      82213000040141                                         Mackenzie                                         Mackenzie                          Canada -134.0708   67.5960  -99.0000   -1.5330   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040151                                                                                      82213000040151                                         Mackenzie                                         Mackenzie                          Canada -134.0670   67.5949  -99.0000   -1.5310   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040161                                                                                      82213000040161                                         Mackenzie                                         Mackenzie                          Canada -134.0631   67.5939  -99.0000   -1.5290   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040171                                                                                      82213000040171                                         Mackenzie                                         Mackenzie                          Canada -134.0593   67.5928  -99.0000   -1.5270   -1.2100                            SWOT       2023-12-01       2024-12-31       active
082213000040181                                                                                      82213000040181                                         Mackenzie                                         Mackenzie                          Canada -134.0555   67.5916  -99.0000   -1.5250   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040191                                                                                      82213000040191                                         Mackenzie                                         Mackenzie                          Canada -134.0520   67.5905  -99.0000   -1.5230   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040201                                                                                      82213000040201                                         Mackenzie                                         Mackenzie                          Canada -134.0485   67.5895  -99.0000   -1.5210   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040211                                                                                      82213000040211                                         Mackenzie                                         Mackenzie                          Canada -134.0447   67.5885  -99.0000   -1.5190   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040221                                                                                      82213000040221                                         Mackenzie                                         Mackenzie                          Canada -134.0408   67.5874  -99.0000   -1.5170   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040231                                                                                      82213000040231                                         Mackenzie                                         Mackenzie                          Canada -134.0373   67.5863  -99.0000   -1.5140   -1.2000                            SWOT       2023-12-01       2024-12-31       active
082213000040241                                                                                      82213000040241                                         Mackenzie                                         Mackenzie                          Canada -134.0335   67.5852  -99.0000   -1.5120   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040251                                                                                      82213000040251                                         Mackenzie                                         Mackenzie                          Canada -134.0297   67.5841  -99.0000   -1.5100   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040261                                                                                      82213000040261                                         Mackenzie                                         Mackenzie                          Canada -134.0262   67.5830  -99.0000   -1.5070   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040271                                                                                      82213000040271                                         Mackenzie                                         Mackenzie                          Canada -134.0227   67.5816  -99.0000   -1.5040   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040281                                                                                      82213000040281                                         Mackenzie                                         Mackenzie                          Canada -134.0192   67.5804  -99.0000   -1.5020   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040291                                                                                      82213000040291                                         Mackenzie                                         Mackenzie                          Canada -134.0158   67.5793  -99.0000   -1.4990   -1.1900                            SWOT       2023-12-01       2024-12-31       active
082213000040301                                                                                      82213000040301                                         Mackenzie                                         Mackenzie                          Canada -134.0123   67.5781  -99.0000   -1.4960   -1.1800                            SWOT       2023-12-01       2024-12-31       active
082213000040311                                                                                      82213000040311                                         Mackenzie                                         Mackenzie                          Canada -134.0088   67.5768  -99.0000   -1.4930   -1.1800                            SWOT       2023-12-01       2024-12-31       active
082213000040321                                                                                      82213000040321                                         Mackenzie                                         Mackenzie                          Canada -134.0054   67.5756  -99.0000   -1.4910   -1.1800                            SWOT       2023-12-01       2024-12-31       active
082213000040331                                                                                      82213000040331                                         Mackenzie                                         Mackenzie                          Canada -134.0022   67.5744  -99.0000   -1.4880   -1.1800                            SWOT       2023-12-01       2024-12-31       active
082213000040341                                                                                      82213000040341                                         Mackenzie                                         Mackenzie                          Canada -133.9991   67.5732  -99.0000   -1.4850   -1.1800                            SWOT       2023-12-01       2024-12-31       active
082213000040351                                                                                      82213000040351                                         Mackenzie                                         Mackenzie                          Canada -133.9956   67.5718  -99.0000   -1.4820   -1.1700                            SWOT       2023-12-01       2024-12-31       active
082213000040361                                                                                      82213000040361                                         Mackenzie                                         Mackenzie                          Canada -133.9925   67.5706  -99.0000   -1.4790   -1.1700                            SWOT       2023-12-01       2024-12-31       active
082213000040371                                                                                      82213000040371                                         Mackenzie                                         Mackenzie                          Canada -133.9891   67.5693  -99.0000   -1.4760   -1.1700                            SWOT       2023-12-01       2024-12-31       active
082213000040381                                                                                      82213000040381                                         Mackenzie                                         Mackenzie                          Canada -133.9856   67.5681  -99.0000   -1.4730   -1.1700                            SWOT       2023-12-01       2024-12-31       active
082213000040391                                                                                      82213000040391                                         Mackenzie                                         Mackenzie                          Canada -133.9825   67.5669  -99.0000   -1.4710   -1.1700                            SWOT       2023-12-01       2024-12-31       active
082213000040401                                                                                      82213000040401                                         Mackenzie                                         Mackenzie                          Canada -133.9790   67.5655  -99.0000   -1.4670   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040411                                                                                      82213000040411                                         Mackenzie                                         Mackenzie                          Canada -133.9759   67.5643  -99.0000   -1.4650   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040421                                                                                      82213000040421                                         Mackenzie                                         Mackenzie                          Canada -133.9728   67.5630  -99.0000   -1.4610   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040431                                                                                      82213000040431                                         Mackenzie                                         Mackenzie                          Canada -133.9693   67.5617  -99.0000   -1.4590   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040441                                                                                      82213000040441                                         Mackenzie                                         Mackenzie                          Canada -133.9658   67.5605  -99.0000   -1.4560   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040451                                                                                      82213000040451                                         Mackenzie                                         Mackenzie                          Canada -133.9624   67.5593  -99.0000   -1.4530   -1.1600                            SWOT       2023-12-01       2024-12-31       active
082213000040461                                                                                      82213000040461                                         Mackenzie                                         Mackenzie                          Canada -133.9589   67.5581  -99.0000   -1.4510   -1.1500                            SWOT       2023-12-01       2024-12-31       active
082213000040471                                                                                      82213000040471                                         Mackenzie                                         Mackenzie                          Canada -133.9554   67.5569  -99.0000   -1.4480   -1.1500                            SWOT       2023-12-01       2024-12-31       active
082213000040481                                                                                      82213000040481                                         Mackenzie                                         Mackenzie                          Canada -133.9520   67.5556  -99.0000   -1.4450   -1.1500                            SWOT       2023-12-01       2024-12-31       active
082213000040491                                                                                      82213000040491                                         Mackenzie                                         Mackenzie                          Canada -133.9485   67.5544  -99.0000   -1.4420   -1.1500                            SWOT       2023-12-01       2024-12-31       active
082213000040501                                                                                      82213000040501                                         Mackenzie                                         Mackenzie                          Canada -133.9450   67.5532  -99.0000   -1.4400   -1.1500                            SWOT       2023-12-01       2024-12-31       active
082213000040511                                                                                      82213000040511                                         Mackenzie                                         Mackenzie                          Canada -133.9416   67.5521  -99.0000   -1.4370   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040521                                                                                      82213000040521                                         Mackenzie                                         Mackenzie                          Canada -133.9381   67.5510  -99.0000   -1.4350   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040531                                                                                      82213000040531                                         Mackenzie                                         Mackenzie                          Canada -133.9343   67.5499  -99.0000   -1.4330   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040541                                                                                      82213000040541                                         Mackenzie                                         Mackenzie                          Canada -133.9304   67.5487  -99.0000   -1.4300   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040551                                                                                      82213000040551                                         Mackenzie                                         Mackenzie                          Canada -133.9270   67.5476  -99.0000   -1.4280   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040561                                                                                      82213000040561                                         Mackenzie                                         Mackenzie                          Canada -133.9235   67.5467  -99.0000   -1.4260   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040571                                                                                      82213000040571                                         Mackenzie                                         Mackenzie                          Canada -133.9197   67.5455  -99.0000   -1.4240   -1.1400                            SWOT       2023-12-01       2024-12-31       active
082213000040581                                                                                      82213000040581                                         Mackenzie                                         Mackenzie                          Canada -133.9159   67.5442  -99.0000   -1.4210   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000040591                                                                                      82213000040591                                         Mackenzie                                         Mackenzie                          Canada -133.9128   67.5431  -99.0000   -1.4190   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000040601                                                                                      82213000040601                                         Mackenzie                                         Mackenzie                          Canada -133.9093   67.5418  -99.0000   -1.4160   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000040611                                                                                      82213000040611                                         Mackenzie                                         Mackenzie                          Canada -133.9058   67.5407  -99.0000   -1.4140   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000040621                                                                                      82213000040621                                         Mackenzie                                         Mackenzie                          Canada -133.9027   67.5394  -99.0000   -1.4110   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000050011                                                                                      82213000050011                                         Mackenzie                                         Mackenzie                          Canada -133.8993   67.5381  -99.0000   -1.4090   -1.1300                            SWOT       2023-12-01       2024-12-31       active
082213000050021                                                                                      82213000050021                                         Mackenzie                                         Mackenzie                          Canada -133.8962   67.5368  -99.0000   -1.4060   -1.1200                            SWOT       2023-12-01       2024-12-31       active
082213000050031                                                                                      82213000050031                                         Mackenzie                                         Mackenzie                          Canada -133.8930   67.5355  -99.0000   -1.4030   -1.1200                            SWOT       2023-12-01       2024-12-31       active
082213000050041                                                                                      82213000050041                                         Mackenzie                                         Mackenzie                          Canada -133.8901   67.5340  -99.0000   -1.4000   -1.1200                            SWOT       2023-12-01       2024-12-31       active
082213000050051                                                                                      82213000050051                                         Mackenzie                                         Mackenzie                          Canada -133.8874   67.5326  -99.0000   -1.3970   -1.1200                            SWOT       2023-12-01       2024-12-31       active
082213000050061                                                                                      82213000050061                                         Mackenzie                                         Mackenzie                          Canada -133.8847   67.5312  -99.0000   -1.3940   -1.1100                            SWOT       2023-12-01       2024-12-31       active
082213000050071                                                                                      82213000050071                                         Mackenzie                                         Mackenzie                          Canada -133.8819   67.5297  -99.0000   -1.3910   -1.1100                            SWOT       2023-12-01       2024-12-31       active
082213000050081                                                                                      82213000050081                                         Mackenzie                                         Mackenzie                          Canada -133.8791   67.5282  -99.0000   -1.3880   -1.1100                            SWOT       2023-12-01       2024-12-31       active
